🥇 1st_place_medal 
🥈 2nd_place_medal 
🥉 3rd_place_medal 
🆎 AB_button_(blood_type) ab ab_button_blood_type
🧥 coat 
🪳 cockroach 
🍸 cocktail_glass cocktail
🥥 coconut 
⚰️ coffin 
⚰ coffin 
🪙 coin 
🥶 cold_face 
💥 collision boom
☄️ comet 
☄ comet 
🧭 compass 
💽 computer_disk minidisc
🖱️ computer_mouse three_button_mouse
🖱 computer_mouse three_button_mouse
🎊 confetti_ball 
😖 confounded_face confounded
😕 confused_face confused
🚧 construction 
👷 construction_worker 
🎛️ control_knobs 
🎛 control_knobs 
🏪 convenience_store 
🧑‍🍳 cook 
🍚 cooked_rice rice
🍪 cookie 
🍳 cooking egg fried_egg
©️ copyright 
© copyright 
🪸 coral 
🛋️ couch_and_lamp 
🛋 couch_and_lamp 
🔄 counterclockwise_arrows_button arrows_counterclockwise
💑 couple_with_heart 
👨‍❤️‍👨 couple_with_heart_man_man 
👨‍❤‍👨 couple_with_heart_man_man 
👩‍❤️‍👨 couple_with_heart_woman_man 
👩‍❤‍👨 couple_with_heart_woman_man 
👩‍❤️‍👩 couple_with_heart_woman_woman 
👩‍❤‍👩 couple_with_heart_woman_woman 
🐄 cow cow2
🐮 cow_face cow
🤠 cowboy_hat_face 
🦀 crab 
🖍️ crayon lower_left_crayon
🖍 crayon lower_left_crayon
💳 credit_card 
🌙 crescent_moon 
🦗 cricket 
🏏 cricket_game cricket_bat_and_ball
🐊 crocodile 
🥐 croissant 
❌ cross_mark x
❎ cross_mark_button negative_squared_cross_mark
🤞 crossed_fingers 
🎌 crossed_flags 
⚔️ crossed_swords 
⚔ crossed_swords 
👑 crown 
🩼 crutch 
😿 crying_cat crying_cat_face
😢 crying_face cry
🔮 crystal_ball 
🥒 cucumber 
🥤 cup_with_straw 
🧁 cupcake 
🥌 curling_stone 
🦱 curly_hair 
➰ curly_loop 
💱 currency_exchange 
🍛 curry_rice curry
🍮 custard 
🛃 customs 
🥩 cut_of_meat 
🌀 cyclone 
🗡️ dagger dagger_knife
🗡 dagger dagger_knife
🍡 dango 
💨 dashing_away dash
🧏‍♂️ deaf_man 
🧏‍♂ deaf_man 
🧏 deaf_person 
🧏‍♀️ deaf_woman 
🧏‍♀ deaf_woman 
🌳 deciduous_tree 
🦌 deer 
🚚 delivery_truck truck
🏬 department_store 
🏚️ derelict_house derelict_house_building
🏚 derelict_house derelict_house_building
🏜️ desert 
🏜 desert 
🏝️ desert_island 
🏝 desert_island 
🖥️ desktop_computer 
🖥 desktop_computer 
🕵️ detective sleuth_or_spy
🕵 detective sleuth_or_spy
♦️ diamond_suit diamonds
♦ diamond_suit diamonds
💠 diamond_with_a_dot diamond_shape_with_a_dot_inside
🔅 dim_button low_brightness
😞 disappointed_face disappointed
🥸 disguised_face 
➗ divide heavy_division_sign
🤿 diving_mask 
🪔 diya_lamp 
💫 dizzy 
🧬 dna 
🦤 dodo 
🐕 dog dog2
🐶 dog_face dog
💵 dollar_banknote dollar
🐬 dolphin flipper
🫏 donkey 
🚪 door 
🫥 dotted_line_face 
🔯 dotted_six-pointed_star six_pointed_star dotted_six_pointed_star
➿ double_curly_loop loop
‼️ double_exclamation_mark bangbang
‼ double_exclamation_mark bangbang
